Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Shimkus	John		X	IL15	2021	2/2/2021	30011642
	Sigala	Angelina R.		C	CA10	2021	4/27/2021	10039991
Hon.	Simpson	Michael K.		P	ID02	2021	1/13/2021	20018028
Hon.	Simpson	Michael K.		P	ID02	2021	2/1/2021	20018114
Hon.	Simpson	Michael K.		P	ID02	2021	4/2/2021	20018508
	Smith	Gregg Harrison		W		2021		8217918
	Smith	Sancha		A	LA05	2021	3/15/2021	10039632
	Smith	Sancha		C	LA05	2021	3/15/2021	10039625
Hon.	Spano	Vincent Ross		T	FL15	2021	1/29/2021	10039486
	Spartz	Victoria		P	IN05	2021	2/20/2021	20018254
Hon.	Steube	Greg		P	FL17	2021	2/24/2021	20018273
Hon.	Steube	Greg		P	FL17	2021	4/2/2021	20018463
	Tanaka	Greg		D	CA18	2021	4/21/2021	8217988
	Tanaka	Greg		X	CA18	2021	4/15/2021	8217985
Mr.	Taylor	Kirby Jerome Birgans		C	IL01	2021	4/13/2021	10039720
Hon.	Thornberry	Mac		T	TX13	2021	1/5/2021	10039410
Hon.	Tipton	Scott R.		T	CO03	2021	2/2/2021	10039504
Hon.	Torres Small	Xochitl		T	NM02	2021	2/3/2021	10039508
	Tucker	Terry		D	TX03	2021	3/31/2021	8217922
Hon.	Visclosky	Peter J.		T	IN01	2021	1/25/2021	10039464
Hon.	Wagner	Ann		P	MO02	2021	3/10/2021	8217886
Hon.	Wagner	Ann		P	MO02	2021	4/9/2021	8217937
Hon.	Walden	Greg		T	OR02	2021	1/28/2021	10039482
Hon.	Walker	Bradley Mark		X	NC06	2021	1/26/2021	30011639
Hon.	Wasserman Schultz	Debbie		P	FL23	2021	4/28/2021	20018637
Hon.	Watkins	Steven Charles	Jr.	X	KS02	2021	1/25/2021	30011637
	Williams	Marsha Viriginia		C	IL16	2021	3/3/2021	10039573
	Williams	Marsha Viriginia		D	IL16	2021	3/4/2021	40003129
	Wilson	Daniel		C	CA26	2021	1/31/2021	10039491
	Wirth	Claire		D	KY04	2021	4/9/2021	40003152
